1	Intel Xeon E5-2697 v2	3MB + 30MB	130	2700	12/24	8843
2	Intel Core i7-4960X	1.5MB + 15	130	3600	6/12	8743
3	Intel Xeon E5-2680	2MB + 20MB	130	2700	8/16	7924
4	Intel Core i7-3960X	1.5MB + 15	130	3300	6/12	8330
5	Intel Core i7-4790K	1MB + 8MB	88	4000	4/8	8641
6	Intel Core i7-4790	1MB + 8MB	84	3600	4/8	0
7	Intel Core i7-4770K	1MB + 8MB	84	3500	4/8	8030
8	Intel Core i7-4790S	1MB + 8MB	65	3200	4/8	0
9	Intel Core i7-4940MX	1MB + 8MB	57	3100	4/8	7678
10	Intel Core i7-4930MX	1MB + 8MB	57	3000	4/8	7456
11	Intel Core i7-4980HQ	1MB + 6MB	47	2800	4/8	7609
12	Intel Core i7-5950HQ	1MB + 6MB	47	2900	4/8	0
13	Intel Core i7-4910MQ	1MB + 8MB	47	2900	4/8	7078
14	Intel Core i7-5850HQ	1MB + 6MB	47	2700	4/8	0
15	Intel Xeon E3-1230 v3	1MB + 8MB	80	3300	4/8	7996
16	Intel Core i7-3770K	1MB + 8MB	77	3500	4/8	7229
17	Intel Core i7-3940XM	1MB + 8MB	55	3000	4/8	7176
18	Intel Core i7-4900MQ	1MB + 8MB	47	2800	4/8	7184
19	Intel Core i7-4960HQ	1MB + 6MB	47	2600	4/8	0
20	Intel Core i7-4810MQ	1MB + 6MB	47	2800	4/8	7049
21	Intel Core i7-5700HQ	1MB + 6MB	47	2700	4/8	0
22	Intel Core i7-5750HQ	1MB + 6MB	47	2500	4/8	0
23	Intel Core i7-4870HQ	1MB + 6MB	47	2500	4/8	6095
24	Intel Core i7-3920XM	1MB + 8MB	55	2900	4/8	6973
25	Intel Core i7-4800MQ	1MB + 6MB	47	2700	4/8	7265
26	Intel Core i7-2700K	1MB + 8MB	95	3500	4/8	6837
27	Intel Core i7-4950HQ	1MB + 6MB	47	2400	4/8	0
28	Intel Core i7-4860HQ	1MB + 6MB	47	2400	4/8	0
29	Intel Core i7-4720HQ	1MB + 6MB	47	2600	4/8	7060
30	Intel Core i7-3840QM	1MB + 8MB	45	2800	4/8	6998
31	Intel Core i7-4850HQ	1MB + 6MB	47	2300	4/8	0
32	Intel Core i7-4710HQ	1MB + 6MB	47	2500	4/8	6980
33	Intel Core i7-4710MQ	1MB + 6MB	47	2500	4/8	6830
34	Intel Core i7-4770HQ	1MB + 6MB	47	2200	4/8	0
35	Intel Core i7-3820QM	1MB + 8MB	45	2700	4/8	6849
36	Intel Core i7-2600K	1MB + 8MB	95	3400	4/8	6669
37	Intel Core i7-3740QM	1MB + 6MB	45	2700	4/8	6837
38	Intel Core i7-3720QM	1MB + 6MB	45	2600	4/8	6642
39	Intel Core i7-4700HQ	1MB + 6MB	47	2400	4/8	6758
40	Intel Core i7-4700MQ	1MB + 6MB	47	2400	4/8	6872
41	Intel Core i7-4760HQ	1MB + 6MB	47	2100	4/8	0
42	Intel Core i7-4722HQ	1MB + 6MB	37	2400	4/8	0
43	Intel Core i7-2960XM	1MB + 8MB	55	2700	4/8	6820
44	Intel Core i5-3570K	1MB + 6MB	77	3400	4/4	6561
45	Intel Core i7-4712HQ	1MB + 6MB	37	2300	4/8	0
46	Intel Core i7-4712MQ	1MB + 6MB	37	2300	4/8	0
47	Intel Core i7-4750HQ	1MB + 6MB	47	2000	4/8	6436
48	Intel Core i7-3635QM	1MB + 6MB	45	2400	4/8	6492
49	Intel Core i7-3630QM	1MB + 6MB	45	2400	4/8	6392
50	Intel Core i5-3550	1MB + 6MB	77	3300	4/4	6405
51	Intel Core i7-4702HQ	1MB + 6MB	37	2200	4/8	5950
52	Intel Core i7-4702MQ	1MB + 6MB	37	2200	4/8	6285
53	Intel Core i7-2860QM	1MB + 8MB	45	2500	4/8	6323
54	Intel Core i7-2920XM	1MB + 8MB	55	2500	4/8	6131
55	Intel Core i5-3470	1MB + 6MB	77	3200	4/4	6179
56	Intel Core i7-3615QM	1MB + 6MB	45	2300	4/8	5574
57	Intel Core i7-3610QM	1MB + 6MB	45	2300	4/8	6078
58	AMD FX-8350	8MB + 8MB	125	4000	8/8	6648
59	Intel Core i5-2500K	1MB + 6MB	95	3300	4/4	5853
60	Intel Core i7-3632QM	1MB + 6MB	35	2200	4/8	5681
61	Intel Core i7-2760QM	1MB + 6MB	45	2400	4/8	6000
62	Intel Core i5-2400	1MB + 6MB	95	3100	4/4	5715
63	Intel Core i7-2820QM	1MB + 8MB	45	2300	4/8	5818
64	Intel Core i7-3612QM	1MB + 6MB	35	2100	4/8	5466
65	Intel Core i7-2720QM	1MB + 6MB	45	2200	4/8	5616
66	Intel Core i7-2675QM	1MB + 6MB	45	2200	4/8	0
67	Intel Core i7-2670QM	1MB + 6MB	45	2200	4/8	5400
68	Intel Core i5-5350H	512KB + 4M	47	3000	2/4	0
69	Intel Core i7-2635QM	1MB + 6MB	45	2000	4/8	4906
70	Intel Core i7-2630QM	1MB + 6MB	45	2000	4/8	5039
71	Intel Core i7-5557U	512KB + 4M	28	3100	2/4	0
72	Intel Core i7-4610M	512KB + 4M	37	3000	2/4	0
73	Intel Core i7-4600M	512KB + 4M	37	2900	2/4	0
74	Intel Core i5-4340M	512KB + 3M	37	2900	2/4	0
75	Intel Core i5-5287U	512KB + 3M	28	2900	2/4	0
76	Intel Core i7-4578U	512KB + 4M	28	3000	2/4	0
77	Intel Core i5-4210H	512KB + 3M	47	2900	2/4	4462
78	Intel Core i5-4330M	512KB + 3M	37	2800	2/4	4362
79	Intel Core i7-3540M	512KB + 4M	35	3000	2/4	4319
80	Intel Core i5-4200H	512KB + 3M	47	2800	2/4	4361
81	Intel Core i7-4558U	512KB + 4M	28	2800	2/4	4264
82	Intel Core i5-5257U	512KB + 3M	28	2700	2/4	4190
83	Intel Core i5-4308U	512KB + 3M	28	2800	2/4	0
84	AMD A10-7850K	4MB	95	3700	4/4	4748
85	AMD A10-6800K	4MB	100	4100	4/4	4885
86	Intel Core i5-4310M	512KB + 3M	37	2700	2/4	0
87	Intel Core i5-4400E	512KB + 3M	37	2700	2/4	0
88	Intel Core i5-4300M	512KB + 3M	37	2600	2/4	4147
89	Intel Core i7-3520M	512KB + 4M	35	2900	2/4	4134
90	Intel Core i7-5600U	512KB + 4M	15	2600	2/4	3825
91	Intel Core i7-5650U	512KB + 4M	15	2200	2/4	3967
92	Intel Core i5-4210M	512KB + 3M	37	2600	2/4	3981
93	Intel Core i5-4288U	512KB + 3M	28	2600	2/4	0
94	Intel Core i5-4278U	512KB + 3M	28	2600	2/4	0
95	Intel Core i5-3380M	512KB + 3M	35	2900	2/4	0
96	Intel Core i5-3360M	512KB + 3M	35	2800	2/4	3994
97	AMD A10-7700K	4MB	95	3400	4/4	4500
98	AMD A8-7650K	4MB	95	3300	4/4	4410
99	Intel Core i3-3220	 + 3MB	55	3300	2/4	4019
100	Intel Core i5-4200M	512KB + 3M	37	2500	2/4	3882
101	Intel Core i5-3340M	512KB + 3M	35	2700	2/4	0
102	Intel Core i7-2640M	512KB + 4M	35	2800	2/4	3927
103	Intel Core i7-5500U	512KB + 4M	15	2400	2/4	3807
104	Intel Core i7-5550U	512KB + 4M	15	2000	2/4	0
105	Intel Core i5-3320M	512KB + 3M	35	2600	2/4	3767
106	Intel Core i5-4258U	512KB + 3M	28	2400	2/4	3865
107	AMD A8-6600K	4MB	100	3900	4/4	4701
108	AMD A10-5800K	4MB	100	3800	4/4	4464
109	Intel Core i5-3230M	512KB + 3M	35	2600	2/4	3760
110	AMD A8-5600K	4MB	100	3600	4/4	4295
111	Intel Core i7-2620M	512KB + 4M	35	2700	2/4	3827
112	Intel Core i7-4600U	512KB + 4M	15	2100	2/4	3223
113	Intel Core i7-4650U	512KB + 4M	15	1700	2/4	3249
114	Intel Core i5-5300U	512KB + 3M	15	2300	2/4	3665
115	Intel Core i7-3687U	512KB + 4M	17	2100	2/4	0
116	Intel Core i5-5350U	512KB + 3M	15	1800	2/4	0
117	AMD A8-3850	4MB	100	2900	4/4	4027
118	Intel Core i7-4510U	512KB + 4M	15	2000	2/4	3420
119	Intel Core i5-3210M	512KB + 3M	35	2500	2/4	3553
120	Intel Core i5-2540M	512KB + 3M	35	2600	2/4	3682
121	Intel Core i7-3667U	512KB + 4M	17	2000	2/4	3594
122	Intel Core i7-4500U	512KB + 4M	15	1800	2/4	3494
123	Intel Core i7-4550U	512KB + 4M	15	1500	2/4	3443
124	Intel Core i5-4310U	512KB + 3M	15	2000	2/4	3463
125	Intel Core i5-4360U	512KB + 3M	15	1500	2/4	0
126	Intel Core i7-3537U	512KB + 4M	17	2000	2/4	3645
127	Intel Core i5-5200U	512KB + 3M	15	2200	2/4	3367
128	Intel Core i5-5250U	512KB + 3M	15	1600	2/4	3393
129	Intel Core i5-4300U	512KB + 3M	15	1900	2/4	3242
130	Intel Core i5-4350U	512KB + 3M	15	1400	2/4	0
131	Intel Core i5-2520M	512KB + 3M	35	2500	2/4	3541
132	Intel Core i3-5157U	512KB + 3M	28	2500	2/4	0
133	Intel Core i3-4110M	512KB + 3M	37	2600	2/4	0
134	Intel Core i5-2450M	512KB + 3M	35	2500	2/4	3441
135	Intel Core i7-3517U	512KB + 4M	17	1900	2/4	3430
136	Intel Core i3-4100M	512KB + 3M	37	2500	2/4	0
137	Intel Core i5-2435M	512KB + 3M	35	2400	2/4	0
138	Intel Core i5-2430M	512KB + 3M	35	2400	2/4	3310
139	AMD FX-8800P	2MB	12	2100	4/4	0
140	Intel Core i3-4000M	512KB + 3M	37	2400	2/4	3098
141	Intel Core i3-4100E	512KB + 3M	37	2400	2/4	0
142	Intel Core i3-3130M	512KB + 3M	35	2600	2/4	0
143	Intel Core i5-2415M	512KB + 3M	35	2300	2/4	2887
144	Intel Core i5-2410M	512KB + 3M	35	2300	2/4	3219
145	Intel Core i5-3437U	512KB + 3M	17	1900	2/4	3398
146	Intel Core i5-4210U	512KB + 3M	15	1700	2/4	3200
147	Intel Core i5-4260U	512KB + 3M	15	1400	2/4	3222
148	Intel Core i3-3120M	512KB + 3M	35	2500	2/4	3057
149	Intel Core i5-3427U	512KB + 3M	17	1800	2/4	3179
150	Intel Core i5-4402E	512KB + 3M	25	1600	2/4	0
151	Intel Pentium G860	256KB + 3M	65	3000	2/2	3065
152	Intel Core i5-4200U	512KB + 3M	15	1600	2/4	3053
153	Intel Core i5-4250U	512KB + 3M	15	1300	2/4	3024
154	Intel Core i3-5020U	512KB + 3M	15	2200	2/4	0
155	Intel Core i3-3110M	512KB + 3M	35	2400	2/4	2988
156	AMD FX-7600P	4MB	35	2700	4/4	3569
157	Intel Core i7-2649M	512KB + 4M	25	2300	2/4	0
158	Intel Core i3-5010U	512KB + 3M	15	2100	2/4	2772
159	Intel Core i3-5015U	512KB + 3M	15	2100	2/4	0
160	Intel Core i3-2370M	512KB + 3M	35	2400	2/4	2869
161	Intel Core i3-5005U	512KB + 3M	15	2000	2/4	2713
162	Intel Core i3-2350M	512KB + 3M	35	2300	2/4	2755
163	Intel Core i3-2348M	512KB + 3M	35	2300	2/4	2829
164	Intel Core i5-3337U	512KB + 3M	17	1800	2/4	3145
165	AMD A10-8700P	2MB	12	1800	4/4	0
166	Intel Core i7-4610Y	512KB + 4M	12	1700	2/4	2735
167	Intel Core i7-2629M	512KB + 4M	25	2100	2/4	0
168	Intel Core i7-2677M	512KB + 4M	17	1800	2/4	2729
169	AMD A10-7400P	4MB	35	2500	4/4	0
170	Intel Pentium 3560M	512KB + 2M	37	2400	2/2	0
171	Intel Core i3-2330M	512KB + 3M	35	2200	2/4	2627
172	Intel Core i3-2328M	512KB + 3M	35	2200	2/4	2697
173	Intel Pentium 2030M	512KB + 2M	35	2500	2/2	0
174	Intel Pentium 3550M	512KB + 2M	37	2300	2/2	0
175	Intel Core i5-3317U	512KB + 3M	17	1700	2/4	2984
176	AMD A8-8600P	2MB	12	1600	4/4	0
177	AMD A8-7200P	4MB	35	2400	4/4	0
178	AMD A10-5750M	4MB	35	2500	4/4	3238
179	AMD A10-5757M	4MB	35	2500	4/4	2986
180	Intel Core i7-2637M	512KB + 4M	17	1700	2/4	2834
181	Intel Core i7-2657M	512KB + 4M	17	1600	2/4	2546
182	Intel Core i7-3689Y	512KB + 4M	13	1500	2/4	0
183	Intel Pentium 2020M	512KB + 2M	35	2400	2/2	2449
184	Intel Pentium 3825U	512KB + 2M	15	1900	2/4	0
185	Intel Core i3-4158U	512KB + 3M	28	2000	2/4	2690
186	Intel Core i3-4120U	512KB + 3M	15	2000	2/4	0
187	Intel Celeron 2970M	512KB + 2M	37	2200	2/2	0
188	Intel Core i5-4300Y	512KB + 3M	12	1600	2/4	1871
189	Intel Core i5-4302Y	512KB + 3M	12	1600	2/4	0
190	Intel Pentium B980	512KB + 2M	35	2400	2/2	2462
191	Intel Core i3-4030U	512KB + 3M	15	1900	2/4	2519
192	Intel Core i3-4025U	512KB + 3M	15	1900	2/4	0
193	Intel Core M-5Y71	512KB + 4M	5	1200	2/4	2503
194	AMD A10-4600M	4MB	35	2300	4/4	2865
195	AMD A10-4657M	4MB	35	2300	4/4	0
196	Intel Core i3-2312M	512KB + 3M	35	2100	2/4	0
197	Intel Core i3-2310M	512KB + 3M	35	2100	2/4	2517
198	Intel Core i3-2308M	512KB + 3M	35	2100	2/4	0
199	Intel Core i5-2557M	512KB + 3M	17	1700	2/4	2750
200	AMD A10-5745M	4MB	25	2100	4/4	2745
201	AMD A8-5550M	4MB	35	2100	4/4	2795
202	AMD A8-5557M	4MB	35	2100	4/4	2747
203	Intel Core M-5Y51	512KB + 4M	5	1100	2/4	2153
204	Intel Core M-5Y70	512KB + 4M	5	1100	2/4	2386
205	AMD FX-7500	4MB	19	2100	4/4	2770
206	AMD A10 Pro-7350B	4MB	19	2100	4/4	2525
207	Intel Celeron 1020E	512KB + 2M	35	2200	2/2	0
208	Intel Core M-5Y31	512KB + 4M	5	900	2/4	2589
209	Intel Core M-5Y10c	512KB + 4M	5	800	2/4	0
210	Intel Core M-5Y10a	512KB + 4M	5	800	2/4	0
211	Intel Core M-5Y10	512KB + 4M	5	800	2/4	1987
212	Intel Core i7-2617M	512KB + 4M	17	1500	2/4	2762
213	Intel Core i5-3439Y	512KB + 3M	13	1500	2/4	0
214	Intel Core i5-4202Y	512KB + 3M	12	1600	2/4	2071
215	Intel Core i5-4220Y	512KB + 3M	12	1600	2/4	0
216	Intel Core i3-4100U	512KB + 3M	15	1800	2/4	0
217	Intel Core i3-3227U	512KB + 3M	17	1900	2/4	2413
218	AMD A6-6400K	4MB	65	3900	2/2	2654
219	Intel Core i5-4210Y	512KB + 3M	12	1500	2/4	2039
220	Intel Core i5-2467M	512KB + 3M	17	1600	2/4	2414
221	Intel Core i5-3339Y	512KB + 3M	13	1500	2/4	2440
222	Intel Core i3-4010U	512KB + 3M	15	1700	2/4	2279
223	Intel Core i3-4005U	512KB + 3M	15	1700	2/4	2211
224	Intel Core i3-3217U	512KB + 3M	17	1800	2/4	2229
225	AMD A10-7300	4MB	19	1900	4/4	2518
226	AMD A8 Pro-7150B	4MB	19	1900	4/4	0
227	Intel Core i5-4200Y	512KB + 3M	12	1400	2/4	0
228	Intel Pentium B970	512KB + 2M	35	2300	2/2	2328
229	Intel Celeron 2950M	512KB + 2M	37	2000	2/2	0
230	AMD A8-7100	4MB	19	1800	4/4	2225
231	Intel Core i3-4102E	512KB + 3M	25	1600	2/4	0
232	Intel Core i3-4030Y	512KB + 3M	12	1600	2/4	0
233	AMD A8-3550MX	4MB	45	2000	4/4	0
234	AMD A4-5300	2MB	65	3400	2/2	2284
235	Intel Celeron 1020M	512KB + 2M	35	2100	2/2	0
236	Intel Pentium B960	512KB + 2M	35	2200	2/2	2231
237	Intel Pentium 3805U	512KB + 2M	15	1900	2/2	0
238	Intel Core i3-4020Y	512KB + 3M	12	1500	2/4	0
239	Intel Core i3-4012Y	512KB + 3M	12	1500	2/4	1375
240	AMD A8-7410	2MB	12	0	4/4	0
241	AMD A8-6410	2MB	15	2000	4/4	2866
242	AMD A6-7310	2MB	12	0	4/4	0
243	AMD A6-6310	2MB	15	1800	4/4	2730
